Song ID,ZCR,Energy,Entropy of Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCC.1,MFCC.2,MFCC.3,MFCC.4,MFCC.5,MFCC.6,MFCC.7,MFCC.8,MFCC.9,MFCC.10,MFCC.11,MFCC.12,MFCC.13,Chroma Vector(CV),CV.1,CV.2,CV.3,CV.4,CV.5,CV.6,CV.7,CV.8,CV.9,CV.10,CV.11,Chroma Deviation,ZCR_SD,Energy_SD,Entropy of Energy_SD,Spectral Centroid_SD,Spectral Spread_SD,Spectral Entropy_SD,Spectral Flux_SD,Spectral Rolloff_SD,MFCC.1_SD,MFCC.2_SD,MFCC.3_SD,MFCC.4_SD,MFCC.5_SD,MFCC.6_SD,MFCC.7_SD,MFCC.8_SD,MFCC.9_SD,MFCC.10_SD,MFCC.11_SD,MFCC.12_SD,MFCC.13_SD,Chroma Vector(CV)_SD,CV.1_SD,CV.2_SD,CV.3_SD,CV.4_SD,CV.5_SD,CV.6_SD,CV.7_SD,CV.8_SD,CV.9_SD,CV.10_SD,CV.11_SD,Chroma Deviation_SD,Tempo Feature1,Tempo Feature2,Valence,Arousal
0,0.2344634079,0.0748857101,0.7920557463,0.1539423841,0.0775753881,0.3058519225,0.1403547495,0.3439978823,0.5913779517,0.5790797293,0.5885822207,0.539500572,0.5282546539,0.1147877063,0.3961056725,0.8195464736,0.4361606912,0.7494915113,0.4934593533,0.4293911962,0.5781938845,0.1660512425,0.2827689389,0.2572736538,0.3382582487,0.3571886355,0.2144719697,0.12510925,0.2552435028,0.1684309685,0.3944478848,0.5061345392,0.450152699,0.2960033987,0.4577932264,0.0848601328,0.1271157413,0.3131576691,0.6702113162,0.5044748797,0.0561743051,0.2554953898,0.2704888003,0.4213187215,0.312992668,0.3447922324,0.2457926978,0.281408137,0.3969950268,0.3242989547,0.4384648152,0.3748759594,0.4846842858,0.5600224455,0.4641352153,0.1375143629,0.4717012217,0.3274906957,0.4281203228,0.4129701908,0.2162284026,0.2157543482,0.1895257288,0.1930134112,0.2732330761,0.4197404684,0.4827316479,0.170282152,0.1428571429,0.3207898156,-0.4,0.5
1,0.1922845318,0.0964885583,0.8146602452,0.1360383607,0.0883155642,0.2413644538,0.1076313793,0.282864154,0.5611618646,0.6306590727,0.634510872,0.5726163924,0.4113417473,0.0968256352,0.3866045427,0.9197882486,0.6506354025,0.8065295167,0.4575293636,0.4564499388,0.4874310593,0.1019704286,0.3731738841,0.2378571627,0.2423385226,0.3919358536,0.1283010573,0.0941458281,0.1386788119,0.1746707196,0.7149115157,0.5436727839,0.4308452346,0.3223152074,0.4055383176,0.1040499333,0.0685689923,0.3636493389,0.7053810163,0.4066972152,0.0395940649,0.2265422289,0.3205898951,0.4059670145,0.3287357993,0.3034936054,0.1967607322,0.2101684531,0.2314698215,0.1972245152,0.2539134685,0.2074618301,0.3268163665,0.310344102,0.3195997397,0.0639724507,0.5057786111,0.3288996609,0.2410034364,0.3794266374,0.0997726892,0.1214492179,0.0858985585,0.1639441188,0.4370333899,0.4288493737,0.427423472,0.1460117288,0.1428571429,0.2710911338,0.5,-0.5
2,0.5292436274,0.184599226,0.5629869449,0.41421157,0.1378445578,0.7595757249,0.1846099381,0.7618273071,0.4816845935,0.1653636266,0.2807787158,0.0560415332,0.6910690758,0.5205457719,0.3489257827,0.7769427018,0.4900071736,0,0.9519125157,0.6087867063,0.728955135,0.1257570186,0.1150920428,0.2246504288,0.0445890114,0.216973588,0.327120736,0.0178023374,0.269741661,0.0065978819,0.1150786855,0.3159902013,0.0782925872,0.1466546367,0.9688908495,0.2436506772,0.5071940702,0.7490322515,0.5102087914,1,0.2529088338,0.4048321034,0.371780671,0.9467008078,0.6888281607,0.6667345965,0.5702647123,0.8555753405,0.9265341346,0.9465590496,0.8228107809,0.9516911585,0.8739302562,0.9381844163,0.6577683143,0.2286634445,0.2341887384,0.5093124739,0.1724436683,0.2820245392,0.5158576221,0.1582865521,0.2510677521,0.0294166603,0.1958612639,0.5984743674,0.1644100487,0.3299218076,0.1428571429,0.2508976695,-0.2,0.4
3,0.1740560252,0.3275511422,0.7024619009,0.1178731694,0.0929449239,0.2682548506,0.1196936328,0.2542640877,0.7798032973,0.6947756652,0.8915854164,0.5166496218,0.855725563,0.363865922,0.5665569221,0.5208549124,0.7965264523,0.757356138,0.2521475868,0.2989117549,0.4942006547,0.3537217494,0.228548721,0.3476950231,0.2512337793,0.4685796679,0.1255352618,0.2303299623,0.1669280738,0.141553107,0.5736578216,0.6694633834,0.3546061642,0.4125168853,0.3610308648,0.3052293239,0.096111514,0.2842251159,0.6245899251,0.3680612131,0.0390246808,0.2305340273,0.1795291098,0.1310851293,0.1920146698,0.2218117979,0.0837018129,0.1076261387,0.2201351038,0.1323933997,0.2215416918,0.2749161286,0.3123870233,0.2781046332,0.3098115261,0.2571779059,0.3221320458,0.3874137321,0.2534403219,0.438034773,0.1273900271,0.3064549057,0.1130211632,0.151309209,0.3806816161,0.5138744023,0.3547278025,0.153605281,0.2,0.2071089623,0.1,0.4
4,0.1520769062,0.331885861,0.816245674,0.2074895176,0.2019748032,0.0807894841,0.0979119075,0.1567641298,0.6502265868,0.7598725458,0.2659142945,0.2778003018,0.2092156365,0.0550922618,0.6347992647,0.2209319751,0.4545341771,0.6167088953,0.4797842738,0.3434252279,0.6087598173,0.1621466566,0.2248276386,0.2333801719,0.242494786,0.1721740111,0.2838151928,0.3727957089,0.3439728651,0.5405035121,0.3411589101,0.2753416962,0.324853422,0.3925487862,0.2725070839,0.2392411687,0.136561933,0.9064456568,0.8323211334,0.1413955373,0.1071307813,0.1035933575,0.3945438897,0.4553960657,0.5791205819,0.376564338,0.1846317579,0.2492397047,0.3052006934,0.2152688573,0.2257412386,0.146687654,0.3525976431,0.3218313879,0.2863522235,0.0997570057,0.2237034904,0.2428136981,0.1866224959,0.1126759123,0.2410741533,0.5892968253,0.1949271205,0.4309994449,0.1145361353,0.1921007302,0.2402891943,0.2537237401,1,0.1825557619,0.6,-0.8
5,0.1609202586,0.14053769,0.6081591177,0.2714258418,0.2352496552,0.0866172048,0.1707063157,0.1333202389,0.4063591317,0.7251388508,0.2024295815,0.202893448,0.2410091072,0.2000688126,0.6021724843,0.2443753925,0.4095976914,0.5319610935,0.6398244517,0.3789591217,0.603355463,0.1455899655,0.1328931212,0.2299945636,0.2015501974,0.2002604346,0.2374151065,0.3857876611,0.5345602785,0.6131429481,0.1850347189,0.319880689,0.4639068101,0.4433724389,0.28579972,0.2214409069,0.5848126361,0.9542386698,0.8496659829,0.1186014008,0.2310095301,0.1046032321,0.8972558682,0.7542113245,0.6702285317,0.4795457967,0.3776336368,0.3418992015,0.5660907653,0.3763064091,0.4645113764,0.2896062759,0.5998451447,0.4527284456,0.3094638963,0.1410464628,0.2104524983,0.4013250255,0.229024219,0.147289137,0.264263512,0.7495435999,0.4015643713,0.5483515705,0.1518078853,0.3931759608,0.6425313381,0.407421359,0.1428571429,0.0585060615,0.7,0.2
6,0.0267268603,0.0278799153,0.6639665476,0.1221806869,0.2235926733,0.0127924676,0.1903997617,0.0174114343,0,0.9594394451,0.567201505,0.5949206864,0.7773705979,0.4130227699,0.7006015628,0.6488445111,0.4081418251,0.3732971099,0.3050767645,0.4631650703,0.3987127873,0.2690998025,0.4403398047,0.4171460503,0.2034775579,0.3034007841,0.5867461389,0.3901431647,0.0467705872,0.1223714132,0.2807332171,1,0.1636329427,0.6635499027,0.1309584982,0.03757173,0.3887622646,0.6350502085,0.6638270411,0.0390508737,0.1968806629,0.0309447816,0.6825003366,0.5216726994,0.4677887595,0.219852701,0.1230420996,0.1387264572,0.1155296013,0.0838240658,0.1374165892,0.0413347718,0.116665358,0.1038811767,0.1761580572,0.1966602932,0.4458900194,0.3439125793,0.1694159902,0.2607832936,0.5130917791,0.4337920089,0.030122315,0.1391823255,0.094709867,0.5457739576,0.126896067,0.2490286113,1,0.3515643271,-0.7,-0.3
7,0.113367744,0.06483653,0.6551553444,0.1353672874,0.1556569176,0.1547443755,0.1143244184,0.1469348898,0.4664724505,0.746826807,0.791441404,0.685554485,0.5363317493,0.2662008329,0.3715384989,0.494365438,0.4758009787,0.3006904159,0.2064983703,0.5249162397,0.6988018346,0.4149561011,0.1117911584,0.7089280909,0.5327360635,0.6476847612,0.7668853935,0.1697703248,0.0321938422,0.3155545909,0.2973046628,0.4221072074,0.2174936789,0.6423843351,0.2365023887,0.0514185328,0.1643971118,0.3611100203,0.5997870189,0.2038550743,0.0489174201,0.1324758317,0.2249089471,0.0978037435,0.1863781592,0.1695628852,0.1065878467,0.1309627461,0.2056946012,0.152624803,0.2368826192,0.1943052002,0.2169277165,0.2955788754,0.3182048762,0.2752016317,0.1725304633,0.5353744486,0.4775859341,0.5963853344,0.6860755649,0.1755104618,0.0222669217,0.2871301186,0.1020074178,0.2422082052,0.1962887012,0.3205715383,0.2,0.4049859025,0.6,-0.6
8,0,0.3230544089,0.5374988302,0.0480634126,0.1513443423,0.0417877005,0.4435486136,0.0180409978,0.5579110652,0.8557821671,0.8098332503,0.8220056669,0.9993081374,0.8995758077,0.413153525,0.4008427336,0.2829288134,0.4188946916,0.0347636245,0.4903104339,0.0813868199,1,0,0.4980815914,0.4141780322,0.4096528697,0,0.2090305721,0.2761884941,0.2278459952,0.8070062723,0.976039826,0.0472781827,1,0.2073101248,0.5650794855,0.4207605334,0.5724592536,0.7719622718,0.1404711867,0.4513646025,0.107777273,0.4896771504,0.5755927264,0.3326631565,0.2181726947,0.0967389987,0.139949836,0.221059264,0.1078150967,0.0933258857,0.1520676112,0.3438042223,0.5599321215,0.9056016141,1,0,0.6956555899,0.7630447261,0.6604832464,0,0.4478284232,0.275803033,0.3503586898,0.7917870753,1,0.0735692827,0.3961310055,0.1428571429,0.1676851288,0.7,0.2
9,0.3111504761,0.4729111176,0.6107543159,0.2167521004,0.1059731378,0.4987115555,0.1236976128,0.4884639812,0.8187957829,0.6144739363,0.9492908656,0.47510309,0.7512316802,0.2836630348,0.5265156023,0.4356655545,0.539369362,0.6602495514,0.2968909571,0.4014071871,0.4517306554,0.2904019986,0.1793728376,0.2390916144,0.2047591129,0.4394252447,0.1956030001,0.2121442634,0.0839902097,0.2257108389,0.3004120995,0.4027876112,0.2628470547,0.1361477674,0.5476346692,0.3994847026,0.183956501,0.2030443743,0.4377361232,0.5925343081,0.0196775359,0.3326184849,0.2556553496,0.1556906764,0.1312081374,0.1413535797,0.0717705622,0.110937433,0.2239192721,0.2371917624,0.2942964074,0.2886026562,0.3353973047,0.2198616087,0.2344814926,0.2326227775,0.2349491297,0.2653099586,0.1956863133,0.4428562384,0.2302644812,0.2785064648,0.0537659836,0.2379824625,0.1426285717,0.302164606,0.2262207534,0.053587459,0.1428571429,0.3446149826,0.2,0.9
